Key name,# values,# subkeys,Last write timestamp
searchindexer.ex|656ad2d8d06756c,17,0,2022-02-08 20:49:17
sechealthui.exe|229ce77307122b33,18,0,2022-02-06 13:00:26
securityhealthse|3a6d325b78a9c5bf,17,0,2022-02-06 13:00:37
services.exe|a9f10120a5dfa066,17,0,2022-02-06 13:00:37
setup.exe|2da247d19e5e3ff8,16,0,2022-02-08 20:49:16
setup.exe|993a5fd275982e14,16,0,2022-02-08 21:08:09
setup.exe|9b0805723d38e80f,16,0,2022-02-08 20:49:16
setup.exe|f976525e7bd30189,16,0,2022-02-08 20:49:16
sihclient.exe|92e5ae7dc3f76efd,17,0,2022-02-06 13:00:27
smss.exe|e5f1e221aaf19079,17,0,2022-02-06 13:00:37
solitaire.exe|410411052a191f27,11,0,2022-02-06 13:00:32
soundrec.exe|d185f0354353dbee,18,0,2022-02-06 13:00:29
speechtotextover|d5d241c5a3d8c6e0,18,0,2022-02-06 13:00:28
spoolsv.exe|1bb2eb6a2f17a3d0,17,0,2022-02-08 20:49:17
sppextcomobj.exe|b05799c8b1eb4a3,17,0,2022-02-08 20:49:17
srtasks.exe|52d38fdeca9794c8,17,0,2022-02-08 20:55:42
stickynotesstub.|e8a563ee21fa994e,11,0,2022-02-06 13:00:31
storedesktopexte|bcf0c364e929f5c0,17,0,2022-02-06 13:00:28
storeexperienceh|322cffa17334170e,17,0,2022-02-06 13:00:30
svchost.exe|3a3b9820ea882eb4,17,0,2022-02-06 13:00:37
taskhostw.exe|87c6c7cdfdc02bad,17,0,2022-02-06 13:00:37
taskkill.exe|48a632600af6cbf3,17,0,2022-02-06 13:00:37
tcui-app.exe|d45b220e4355ac20,18,0,2022-02-06 13:00:28
terminalazbridge|69d41e9fe766bdb1,17,0,2022-02-06 13:00:33
time.exe|36060e103c7b953,11,0,2022-02-06 13:00:33
tiworker.exe|1413475eec285f7f,16,0,2022-02-05 21:06:06
tiworker.exe|28961e555e281955,16,0,2022-02-08 20:58:11
tzsync.exe|b7312a33f1aac703,17,0,2022-02-13 03:54:42
uhssvc.exe|27ddfa9e98244774,16,0,2022-02-08 20:49:15
unifiedinstaller|382321654cc6e879,16,0,2022-02-06 14:05:06
updateplatform.e|a7b92dcaa9f66c8e,16,0,2022-02-08 21:06:45
upfc.exe|5e5b940356e40b74,17,0,2022-02-06 13:00:37
userinit.exe|b21bd46ff8053d3c,17,0,2022-02-08 20:49:17
usoclient.exe|fe093c71b7abec54,17,0,2022-02-08 20:49:17
vc_redist.x64.ex|b72113d8ab25b2ea,16,0,2022-02-06 13:00:35
vc_redist.x86.ex|14d8d754ef3d4aa9,16,0,2022-02-06 13:00:35
vgauthcli.exe|9127b250b40e905a,16,0,2022-02-06 13:00:35
vgauthservice.ex|2eefeb8d422b68c0,16,0,2022-02-06 13:00:35
video.ui.exe|1181b8fe448582a6,18,0,2022-02-06 13:00:32
videoprojectslau|4a6a8d371ec276f0,18,0,2022-02-08 20:49:12
vm3dmp-debug.sys|bacfc47b18778ec3,16,0,2022-02-06 13:00:35
vm3dmp-stats.sys|158e8a6891cdeb92,16,0,2022-02-06 13:00:35
vm3dmp.sys|d88a9f6a84a51584,16,0,2022-02-06 13:00:35
vm3dmp_loader.sy|ed68852c35b098d,16,0,2022-02-06 13:00:35
vm3dservice.exe|6ff0ee25bab6bb16,16,0,2022-02-13 03:55:17
vm3dservice.exe|88a81db65b40f162,16,0,2022-02-06 13:00:35
vmci.sys|f408a04ddf0faeee,16,0,2022-02-06 13:00:35
vmhgfs.sys|254b303960a2309f,16,0,2022-02-06 13:00:35
vmmemctl.sys|d11050c689c884cb,16,0,2022-02-06 13:00:35
