Registry Key,Change Type,Value Name,Value Data,Value Type,Data Length,Value Data Changed To,Value Type Changed To,Data Length Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0010,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0010\Linkage,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0010\Ndi,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0010\Ndi\Interfaces,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{62f9c741-b25a-46ce-b54c-9bccce08b6f2}\0004,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{71a27cdd-812a-11d0-bec7-08002be2092f}\0003,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{75416e63-5912-4dfa-ae8f-3efaccaffb14},Added Key,,,,,,,,,2021-06-05 12:10
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{75416e63-5912-4dfa-ae8f-3efaccaffb14}\Configuration,Added Key,,,,,,,,,2021-06-05 12:10
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{75416e63-5912-4dfa-ae8f-3efaccaffb14}\Configuration\Instance,Added Key,,,,,,,,,2021-06-05 12:10
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{75416e63-5912-4dfa-ae8f-3efaccaffb14}\Configuration\Variables,Added Key,,,,,,,,,2021-06-05 12:10
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{75416e63-5912-4dfa-ae8f-3efaccaffb14}\Configuration\Variables\BusDeviceDesc,Added Key,,,,,,,,,2021-06-05 12:10
